Company,Industry,CPT Friendly,CPT Onboard,CPT Agreement,Actions
AbbVie,Pharmaceutical,✓,✓,Supporting,Details  Update
Accenture,Computer/Software/Technology,✗,✗,Not Supporting,Details  Update
Acorns,Computer/Software/Technology,✗,✗,Supporting,Details  Update
Adobe,Computer/Software/Technology,✗,✗,Not Supporting,Details  Update
ADP,Computer/Software/Technology,✗,✗,Not Supporting,Details  Update
adQuadrant,Marketing,✓,✓,Supporting,Details  Update
AECOM,Civil Engineering,✓,✓,Supporting,Details  Update
Affirm,Banking/Finance,✗,✗,Not Supporting,Details  Update
Amazon,Computer/Software/Technology,✗,✗,Not Supporting,Details  Update
Ameripharma,Healthcare,✗,✗,Depends,Details  Update
AonDevices,Computer/Software/Technology,✓,✓,Supporting,Details  Update
Apple,Computer/Software/Technology,✗,✗,Not Supporting,Details  Update
Applied Materials,Computer/Electronics Hardware,✗,✗,Not Supporting,Details  Update
Atosa USA,Accounting,✗,✗,Depends,Details  Update
Barclays,Banking/Finance,✓,✗,Unknown,Details  Update
Bloomberg,Banking/Finance,✓,✗,Depends,Details  Update
Blytheco,Management,✗,✗,Depends,Details  Update
BOA,Banking/Finance,✗,✗,Not Supporting,Details  Update
Boomers,Management,✗,✗,Depends,Details  Update
Boston Scientific,Medical Device Manufacturing,✗,✗,Not Supporting,Details  Update
Box,Computer/Software/Technology,✓,✓,Unknown,Details  Update
Breakthrough Research,Marketing,✗,✗,Unknown,Details  Update
C3 AI,Computer/Software/Technology,✗,✗,Not Supporting,Details  Update
California Coast Credit Union,Banking/Finance,✓,✓,Supporting,Details  Update
Capital One,Banking/Finance,✓,✗,Depends,Details  Update
CBRE,Real Estate,✓,✓,Supporting,Details  Update
CDK global,Computer/Software/Technology,✓,✓,Supporting,Details  Update
Charter Communications,Telecommunications,✓,✓,Supporting,Details  Update
Cisco,Computer/Electronics Hardware,✗,✗,Not Supporting,Details  Update
Citi,Banking/Finance,✗,✗,Not Supporting,Details  Update
ClubCorp,Hospitality,✓,✓,Supporting,Details  Update
Coinbase,Computer/Software/Technology,✗,✗,Not Supporting,Details  Update
Coinbase,Computer/Software/Technology,✗,✗,Not Supporting,Details  Update
Corsair Gaming,Computer/Electronics Hardware,✓,✗,Depends,Details  Update
CR Laurence,Office Administration,✓,✓,Supporting,Details  Update
CVS,Retail,✓,✓,Depends,Details  Update
Databricks,Computer/Software/Technology,✓,✓,Supporting,Details  Update
Deloitte,Computer/Software/Technology,✓,✗,Supporting,Details  Update
Dentsu,Marketing,✓,✗,Depends,Details  Update
Disneyland Resorts,Hospitality,✓,✓,Supporting,Details  Update
Doordash,Delivery Service,✓,✓,Unknown,Details  Update
DoraHacks,Computer/Software/Technology,✓,✓,Supporting,Details  Update
Dreams for Schools,Education,✗,✗,Unknown,Details  Update
Eazzy Consulting,Consulting,✓,✓,Unknown,Details  Update
eBay,E-commerce,✗,✗,Not Supporting,Details  Update
Eclinicalworks,Healthcare,✓,✗,Supporting,Details  Update
EdiGene,Biotechnology,✓,✓,Supporting,Details  Update
Eli Lilly and Company,Pharmaceutical,✗,✗,Not Supporting,Details  Update
Enterprise Rent-A-Car,Management,✓,✓,Supporting,Details  Update
Exemplis,Computer/Software/Technology,✓,✓,Supporting,Details  Update
expedia,Computer/Software/Technology,✗,✗,Not Supporting,Details  Update
EY,Accounting,✗,✗,Not Supporting,Details  Update
Fidelity Investments,Banking/Finance,✓,✗,Unknown,Details  Update
Fiserv,Computer/Software/Technology,✓,✗,Supporting,Details  Update
Five Acres,Banking/Finance,✓,✓,Supporting,Details  Update
Flexport,Logistics,✗,✗,Unknown,Details  Update
Forbes,Media,✗,✗,Not Supporting,Details  Update
Ford Motor Company,Automotive,✓,✓,Supporting,Details  Update
Freight Transportation,Computer/Software/Technology,✓,✓,Supporting,Details  Update
FreshDirect,Delivery Service,✓,✓,Supporting,Details  Update
GoElite Inc,Education,✓,✓,Unknown,Details  Update
Goldman Sachs,Banking/Finance,✓,✓,Supporting,Details  Update
Google,Computer/Software/Technology,✓,✗,Depends,Details  Update
Harvey & Company LLC,Banking/Finance,✓,✓,Supporting,Details  Update
Home Depot,Retail,✓,✓,Unknown,Details  Update
HP,Computer/Software/Technology,✗,✗,Not Supporting,Details  Update
HTC Global Services,Consulting,✓,✓,Unknown,Details  Update
IBM,Computer/Software/Technology,✓,✓,Unknown,Details  Update
Intel,Computer/Software/Technology,✓,✓,Supporting,Details  Update
Internet Brands,Marketing,✗,✗,Not Supporting,Details  Update
IQVIA,Pharmaceutical,✓,✓,Supporting,Details  Update
Jabil Inc,Manufacturing,✓,✗,Depends,Details  Update
JPMorgan Chase,Banking/Finance,✓,✗,Supporting,Details  Update
Latch,Computer/Software/Technology,✓,✓,Supporting,Details  Update
Matterport,Computer/Software/Technology,✓,✓,Unknown,Details  Update
Meta,Computer/Software/Technology,✗,✗,Not Supporting,Details  Update
Microsoft,Computer/Software/Technology,✓,✗,Depends,Details  Update
Minnesota Vikings,Sports,✗,✗,Not Supporting,Details  Update
Momentous Sports Center,Office Administration,✓,✓,Supporting,Details  Update
Moody's Corporation,Banking/Finance,✓,✓,Depends,Details  Update
Nike,Retail,✓,✓,Supporting,Details  Update
Nomura Holdings,Banking/Finance,✓,✗,Depends,Details  Update
Northwestern Mutual,Banking/Finance,✗,✗,Unknown,Details  Update
"NTT Data Americas, Inc",Consulting,✗,✗,Not Supporting,Details  Update
Nvidia,Computer/Software/Technology,✓,✓,Supporting,Details  Update
Ocient,Computer/Software/Technology,✓,✓,Supporting,Details  Update
Okta,Computer/Software/Technology,✗,✗,Not Supporting,Details  Update
Omega Accounting Solutions,Banking/Finance,✓,✓,Supporting,Details  Update
Omniprint International Inc,Computer/Software/Technology,✗,✗,Unknown,Details  Update
On Semiconductor,Computer/Electronics Hardware,✓,✓,Unknown,Details  Update
Option clearing corporation,Banking/Finance,✓,✓,Supporting,Details  Update
Orange County Educational Arts Academy (OCEAA),Education,✗,✗,Unknown,Details  Update
Pacific Premier Bank,Banking/Finance,✗,✗,Unknown,Details  Update
PayPal,Computer/Software/Technology,✓,✗,Depends,Details  Update
Peacock,Entertainment,✓,✓,Supporting,Details  Update
Petco,Retail,✓,✓,Supporting,Details  Update
Qualcomm,Computer/Electronics Hardware,✗,✗,Unknown,Details  Update
Redwitz,Accounting,✓,✓,Supporting,Details  Update
Redwitzc,Accounting,✓,✓,Supporting,Details  Update
Rivian,Automotive,✓,✓,Supporting,Details  Update
Salesforce,Computer/Software/Technology,✗,✗,Not Supporting,Details  Update
Samsung,Computer/Software/Technology,✗,✗,Not Supporting,Details  Update
Santander,Banking/Finance,✓,✓,Supporting,Details  Update
Schools First Credit Union,Banking/Finance,✗,✗,Unknown,Details  Update
ServiceNow,Computer/Software/Technology,✗,✗,Not Supporting,Details  Update
Skyhawks Sports Academy,Social Service,✗,✗,Unknown,Details  Update
Smule,Entertainment,✓,✓,Supporting,Details  Update
Snap Inc.,Computer/Software/Technology,✓,✓,Supporting,Details  Update
snowflake,Computer/Software/Technology,✓,✗,Not Supporting,Details  Update
splunk,Computer/Software/Technology,✗,✗,Not Supporting,Details  Update
State Street,Banking/Finance,✗,✗,Not Supporting,Details  Update
Sylvan Learning,Education,✓,✓,Supporting,Details  Update
T-Mobile Inc,Telecommunications,✓,✗,Supporting,Details  Update
Takeda,Pharmaceutical,✓,✗,Unknown,Details  Update
Tax Rise,Accounting,✓,✓,Supporting,Details  Update
TD Bank,Banking/Finance,✗,✗,Not Supporting,Details  Update
Tesla,Automotive,✗,✗,Supporting,Details  Update
Thomson Reuters,Media,✓,✓,Depends,Details  Update
TikTok,Computer/Software/Technology,✗,✗,Not Supporting,Details  Update
Townli,Marketing,✓,✓,Supporting,Details  Update
transconnect,Computer/Software/Technology,✓,✓,Supporting,Details  Update
TUSA,Office Administration,✓,✓,Supporting,Details  Update
Uber,Computer/Software/Technology,✗,✗,Not Supporting,Details  Update
UBS,Banking/Finance,✓,✗,Supporting,Details  Update
"University of California Riverside, Bourns College",Banking/Finance,✓,✓,Supporting,Details  Update
Unlimited Possibilities,Healthcare,✗,✗,Unknown,Details  Update
Visa,Banking/Finance,✗,✗,Unknown,Details  Update
Volt,Office Administration,✓,✓,Supporting,Details  Update
Walmart Labs,E-commerce,✓,✗,Supporting,Details  Update
West Coast Consulting,Computer/Software/Technology,✓,✓,Supporting,Details  Update
WeWork,Real Estate,✓,✓,Unknown,Details  Update
Wyndham Destinations,Hospitality,✗,✗,Unknown,Details  Update
Xponential Fitness,Marketing,✓,✓,Supporting,Details  Update
Yahoo,Computer/Software/Technology,✗,✗,Not Supporting,Details  Update
ZS Associates,Management,✗,✗,Not Supporting,Details  Update
